-7.900000,	 4.66637061435914e+00,	 1.00105865816023e+00,	 1.00105865816023e+00,	 -1.53529893050626e+01,	
-7.890000,	 4.67637061435914e+00,	 1.00064859122168e+00,	 1.00064859122168e+00,	 -1.53528113671437e+01,	
-7.880000,	 4.68637061435914e+00,	 1.00033845859123e+00,	 1.00033845859123e+00,	 -1.56537067403560e+01,	
-7.870000,	 4.69637061435914e+00,	 1.00012829128186e+00,	 1.00012829128186e+00,	 -1.00000000000000e+02,	
-7.860000,	 4.70637061435914e+00,	 1.00001811031014e+00,	 1.00001811031014e+00,	 -1.00000000000000e+02,	
-7.850000,	 4.71637061435914e+00,	 1.00000792669408e+00,	 1.00000792669408e+00,	 -1.00000000000000e+02,	
-7.840000,	 4.72637061435914e+00,	 1.00009774145202e+00,	 1.00009774145202e+00,	 -1.00000000000000e+02,	
-7.830000,	 4.73637061435914e+00,	 1.00028754560257e+00,	 1.00028754560257e+00,	 -1.56536846360447e+01,	
-7.820000,	 4.74637061435914e+00,	 1.00057732016547e+00,	 1.00057732016547e+00,	 -1.51766891744225e+01,	
-7.810000,	 4.75637061435914e+00,	 1.00096703616350e+00,	 1.00096703616350e+00,	 -1.53529495543963e+01,	
-7.800000,	 4.76637061435914e+00,	 1.00145665462539e+00,	 1.00145665462539e+00,	 -1.51770706765679e+01,	
-7.790000,	 4.77637061435914e+00,	 1.00204612658971e+00,	 1.00204612658970e+00,	 -1.53534174924724e+01,	
-7.780000,	 4.78637061435914e+00,	 1.00273539310973e+00,	 1.00273539310973e+00,	 -1.50526861275121e+01,	
-7.770000,	 4.79637061435914e+00,	 1.00352438525940e+00,	 1.00352438525940e+00,	 -1.50530277133409e+01,	
-7.760000,	 4.80637061435914e+00,	 1.00441302414014e+00,	 1.00441302414014e+00,	 -1.50534121187369e+01,	
-7.750000,	 4.81637061435914e+00,	 1.00540122088882e+00,	 1.00540122088882e+00,	 -1.48777479324126e+01,	
-7.740000,	 4.82637061435914e+00,	 1.00648887668658e+00,	 1.00648887668658e+00,	 -1.48782175037453e+01,	
-7.730000,	 4.83637061435914e+00,	 1.00767588276875e+00,	 1.00767588276875e+00,	 -1.48787293886333e+01,	
-7.720000,	 4.84637061435914e+00,	 1.00896212043571e+00,	 1.00896212043571e+00,	 -1.48792833859258e+01,	
